year	countrycode	eeacellcode	classkey	class	specieskey	species	occurrences	mincoordinateuncertaintyinmeters	mintemporaluncertainty	classcount
2024	BE	1kmE3959N3039	359	Mammalia	5218786	Procyon lotor	1	16.0	86400	21001
2024	BE	1kmE3959N3048	359	Mammalia	5218786	Procyon lotor	1	49.0	86400	21001
2024	BE	1kmE3960N2988	359	Mammalia	5218786	Procyon lotor	1	200.0	86400	21001
2024	BE	1kmE3960N3003	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3960N3032	359	Mammalia	5218786	Procyon lotor	1	5.0	86400	21001
2024	BE	1kmE3960N3036	359	Mammalia	5218786	Procyon lotor	2	30.0	86400	21001
2024	BE	1kmE3960N3037	359	Mammalia	5218786	Procyon lotor	1	2828.0	86400	21001
2024	BE	1kmE3960N3051	359	Mammalia	5218786	Procyon lotor	3	3.0	86400	21001
2024	BE	1kmE3961N3013	359	Mammalia	5218786	Procyon lotor	1	5.0	86400	21001
2024	BE	1kmE3961N3023	359	Mammalia	5218786	Procyon lotor	1	999.0	86400	21001
2024	BE	1kmE3961N3034	359	Mammalia	5218786	Procyon lotor	1	2828.0	86400	21001
2024	BE	1kmE3961N3046	359	Mammalia	5218786	Procyon lotor	1	1.0	86400	21001
2024	BE	1kmE3962N2976	359	Mammalia	5218786	Procyon lotor	1	31.0	86400	21001
2024	BE	1kmE3962N2979	359	Mammalia	5218786	Procyon lotor	1	96.0	86400	21001
2024	BE	1kmE3962N2989	359	Mammalia	5218786	Procyon lotor	2	3.0	86400	21001
2024	BE	1kmE3962N3002	359	Mammalia	5218786	Procyon lotor	1	244.0	86400	21001
2024	BE	1kmE3962N3012	359	Mammalia	5218786	Procyon lotor	1	2828.0	86400	21001
2024	BE	1kmE3962N3015	359	Mammalia	5218786	Procyon lotor	1	2828.0	86400	21001
2024	BE	1kmE3962N3035	359	Mammalia	5218786	Procyon lotor	1	2828.0	86400	21001
2024	BE	1kmE3962N3036	359	Mammalia	5218786	Procyon lotor	1	15.0	86400	21001
2024	BE	1kmE3963N2980	359	Mammalia	5218786	Procyon lotor	1	3.0	86400	21001
2024	BE	1kmE3963N2985	359	Mammalia	5218786	Procyon lotor	1	11.0	86400	21001
2024	BE	1kmE3963N2989	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3963N2998	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3963N3016	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3963N3037	359	Mammalia	5218786	Procyon lotor	2	16.0	60	21001
2024	BE	1kmE3963N3046	359	Mammalia	5218786	Procyon lotor	1	999.0	86400	21001
2024	BE	1kmE3963N3054	359	Mammalia	5218786	Procyon lotor	1	15.0	86400	21001
2024	NL	1kmE3963N3193	359	Mammalia	5218786	Procyon lotor	1	5000.0	86400	21001
2024	BE	1kmE3964N2974	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	BE	1kmE3964N2977	359	Mammalia	5218786	Procyon lotor	2	4.0	86400	21001
2024	BE	1kmE3964N2978	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2024	BE	1kmE3964N3015	359	Mammalia	5218786	Procyon lotor	2	5.0	86400	21001
